File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  18:22:19-18:27:43
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   318
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.149      3.828e-01
2             1.1       1.144      5.131e-01
3             2.1       1.134      5.837e-01
4             3.1       1.124      5.862e-01
5             4.1       1.114      4.467e-01
6             5.1       1.104      3.726e-01
7             6.1       1.094      3.079e-01
8             7.1       1.084      2.773e-01
9             8.1       1.074      2.560e-01
10            9.1       1.064      2.506e-01
11           10.1       1.054      2.831e-01
12           11.1       1.044      2.819e-01
13           12.1       1.034      2.989e-01
14           13.1       1.024      2.347e-01
15           14.1       1.014      1.471e-01
16           15.1       1.004      1.251e-01
17           16.1       0.994      9.182e-02
18           17.1       0.984      6.468e-02
19           18.1       0.974      3.856e-02
20           19.1       0.964      2.658e-02
21           20.1       0.954      1.749e-02
22           21.1       0.944      4.233e-03
23           22.1       0.934     -6.901e-03
24           23.9       0.917     -4.280e-02
25           24.9       0.907     -5.930e-02
26           25.9       0.897     -7.273e-02
27           26.9       0.887     -8.672e-02
28           27.9       0.877     -1.038e-01
29           28.9       0.867     -1.125e-01
30           29.9       0.857     -1.305e-01
31           30.9       0.847     -1.439e-01
32           31.9       0.837     -1.585e-01
33           32.9       0.827     -1.753e-01
34           33.9       0.817     -1.884e-01
35           34.9       0.807     -1.951e-01
36           35.9       0.797     -2.133e-01
37           36.9       0.787     -2.312e-01
38           37.9       0.777     -2.458e-01
39           38.9       0.767     -2.593e-01
40           39.9       0.757     -2.740e-01
41           40.9       0.747     -2.911e-01
42           41.9       0.737     -3.040e-01
43           42.9       0.727     -3.165e-01
44           43.9       0.717     -3.358e-01
45           44.9       0.706     -3.524e-01
46           45.9       0.697     -3.671e-01
47           46.9       0.687     -3.819e-01
48           47.9       0.676     -3.970e-01
49           48.9       0.666     -4.129e-01
50           49.9       0.656     -4.265e-01
51           50.9       0.646     -4.438e-01
52           51.9       0.636     -4.595e-01
53           52.9       0.626     -4.747e-01
54           53.9       0.616     -4.923e-01
55           54.9       0.606     -5.068e-01
56           55.9       0.596     -5.237e-01
57           56.9       0.586     -5.409e-01
58           57.9       0.576     -5.585e-01
59           58.9       0.566     -5.752e-01
60           59.9       0.556     -5.890e-01
61           60.9       0.546     -6.088e-01
62           61.9       0.536     -6.269e-01
63           62.9       0.526     -6.421e-01
64           63.9       0.516     -6.607e-01
65           64.9       0.506     -6.768e-01
66           65.9       0.496     -6.930e-01
67           66.9       0.486     -7.120e-01
68           67.9       0.476     -7.280e-01
69           68.9       0.466     -7.460e-01
70           69.9       0.456     -7.652e-01
71           70.9       0.447     -7.843e-01
72           71.9       0.437     -8.014e-01
73           72.9       0.427     -8.185e-01
74           73.9       0.417     -8.387e-01
75           74.9       0.407     -8.553e-01
76           75.9       0.397     -8.753e-01
77           76.9       0.387     -8.956e-01
78           77.9       0.377     -9.136e-01
79           78.9       0.367     -9.329e-01
80           79.9       0.357     -9.532e-01
81           80.9       0.347     -9.721e-01
82           81.9       0.337     -9.907e-01
83           82.9       0.327     -1.012e+00
84           83.9       0.317     -1.032e+00
85           84.9       0.307     -1.053e+00
86           85.9       0.297     -1.072e+00
87           86.9       0.287     -1.093e+00
88           87.9       0.277     -1.114e+00
89           88.9       0.267     -1.135e+00
