File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  18:53:28-18:57:42
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   245
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       2.062      2.544e+00
2             1.1       2.057      2.526e+00
3             1.1       2.057      2.526e+00
4             2.4       2.052      2.525e+00
5             3.4       2.042      2.539e+00
6             4.4       2.032      2.538e+00
7             5.4       2.022      2.538e+00
8             6.4       2.012      2.538e+00
9             7.4       2.002      2.536e+00
10            8.4       1.992      2.536e+00
11            9.4       1.982      2.535e+00
12           10.4       1.972      2.535e+00
13           11.4       1.962      2.534e+00
14           12.4       1.952      2.532e+00
15           13.4       1.942      2.532e+00
16           14.6       1.930      2.532e+00
17           15.5       1.920      2.538e+00
18           16.5       1.911      2.527e+00
19           17.6       1.900      2.528e+00
20           18.4       1.890      2.529e+00
21           19.5       1.881      2.531e+00
22           20.4       1.871      2.527e+00
23           21.4       1.862      2.529e+00
24           22.4       1.852      2.528e+00
25           23.4       1.842      2.526e+00
26           24.4       1.832      2.525e+00
27           25.4       1.822      2.526e+00
28           26.4       1.812      2.526e+00
29           27.4       1.802      2.524e+00
30           28.4       1.792      2.524e+00
31           29.4       1.782      2.523e+00
32           30.4       1.772      2.524e+00
33           31.4       1.762      2.522e+00
34           32.4       1.752      2.521e+00
35           33.4       1.742      2.521e+00
36           34.4       1.732      2.522e+00
37           35.4       1.722      2.521e+00
38           36.4       1.712      2.521e+00
39           37.4       1.702      2.519e+00
40           38.4       1.692      2.520e+00
41           39.4       1.682      2.518e+00
42           40.4       1.672      2.518e+00
43           41.4       1.662      2.517e+00
44           42.4       1.652      2.517e+00
45           43.4       1.642      2.516e+00
46           44.4       1.632      2.518e+00
47           45.4       1.622      2.516e+00
48           46.4       1.612      2.517e+00
49           47.4       1.602      2.516e+00
50           48.4       1.592      2.515e+00
51           49.4       1.582      2.514e+00
52           50.4       1.572      2.513e+00
53           51.4       1.562      2.514e+00
54           52.4       1.552      2.514e+00
55           53.4       1.542      2.514e+00
56           54.4       1.532      2.512e+00
57           55.4       1.522      2.512e+00
58           56.4       1.512      2.512e+00
59           57.4       1.502      2.511e+00
60           58.4       1.492      2.513e+00
61           59.4       1.482      2.513e+00
62           60.4       1.472      2.511e+00
63           61.4       1.462      2.509e+00
64           62.4       1.452      2.510e+00
65           63.4       1.442      2.511e+00
66           64.4       1.432      2.510e+00
67           65.4       1.422      2.509e+00
