File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  15:48:02-15:51:26
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   195
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.913      2.591e+00
2             1.1       1.908      2.557e+00
3             1.1       1.908      2.557e+00
4             2.4       1.902      2.570e+00
5             3.4       1.892      2.585e+00
6             4.4       1.882      2.584e+00
7             5.4       1.872      2.584e+00
8             6.4       1.862      2.583e+00
9             7.4       1.852      2.581e+00
10            8.4       1.842      2.580e+00
11            9.4       1.832      2.580e+00
12           10.4       1.822      2.579e+00
13           11.4       1.812      2.578e+00
14           12.4       1.802      2.578e+00
15           13.4       1.792      2.577e+00
16           14.4       1.782      2.576e+00
17           15.4       1.772      2.575e+00
18           16.4       1.762      2.573e+00
19           17.4       1.752      2.573e+00
20           18.4       1.742      2.572e+00
21           19.4       1.732      2.573e+00
22           20.4       1.722      2.571e+00
23           21.4       1.712      2.572e+00
24           22.4       1.702      2.570e+00
25           23.4       1.692      2.569e+00
26           24.4       1.682      2.568e+00
27           25.4       1.672      2.568e+00
28           26.4       1.662      2.567e+00
29           27.4       1.652      2.567e+00
30           28.4       1.642      2.565e+00
31           29.4       1.632      2.565e+00
32           30.4       1.622      2.564e+00
33           31.4       1.612      2.563e+00
34           32.4       1.602      2.563e+00
35           33.4       1.592      2.564e+00
36           34.4       1.582      2.562e+00
37           35.4       1.572      2.561e+00
38           36.4       1.562      2.561e+00
39           37.4       1.552      2.562e+00
40           38.4       1.542      2.560e+00
41           39.4       1.532      2.558e+00
42           40.4       1.522      2.557e+00
43           41.4       1.512      2.556e+00
44           42.4       1.502      2.556e+00
45           43.4       1.492      2.557e+00
46           44.4       1.482      2.555e+00
47           45.4       1.472      2.556e+00
48           46.4       1.462      2.555e+00
49           47.4       1.452      2.554e+00
50           48.4       1.442      2.555e+00
51           49.4       1.432      2.555e+00
52           50.4       1.422      2.553e+00
53           51.4       1.412      2.552e+00
54           52.4       1.402      2.554e+00
55           53.4       1.392      2.550e+00
56           54.4       1.382      2.551e+00
57           55.4       1.372      2.551e+00
58           56.4       1.362      2.552e+00
59           57.4       1.352      2.551e+00
60           58.4       1.342      2.550e+00
61           59.4       1.332      2.548e+00
62           60.4       1.322      2.549e+00
63           61.4       1.312      2.548e+00
64           62.4       1.302      2.547e+00
65           63.4       1.292      2.547e+00
66           64.4       1.282      2.545e+00
67           65.4       1.272      2.546e+00
68           66.4       1.262      2.545e+00
69           67.4       1.252      2.545e+00
70           68.4       1.242      2.543e+00
71           69.4       1.232      2.545e+00
72           70.4       1.222      2.543e+00
73           71.4       1.212      2.544e+00
74           72.4       1.202      2.542e+00
75           73.4       1.192      2.527e+00
76           74.4       1.182      2.379e+00
77           75.4       1.172      2.261e+00
78           76.4       1.162      2.183e+00
79           77.4       1.152      2.049e+00
80           78.4       1.142      1.998e+00
81           79.4       1.132      1.785e+00
82           80.4       1.122      1.588e+00
83           81.4       1.112      1.398e+00
84           82.4       1.102      1.344e+00
85           83.4       1.092      1.215e+00
86           84.4       1.082      1.068e+00
87           85.4       1.072      9.362e-01
88           86.4       1.062      7.849e-01
89           87.4       1.052      7.103e-01
90           88.4       1.042      6.149e-01
91           89.4       1.032      5.049e-01
92           90.4       1.022      4.371e-01
93           91.4       1.012      3.437e-01
94           92.4       1.002      2.759e-01
95           93.4       0.992      2.555e-01
96           94.4       0.982      2.435e-01
97           95.4       0.972      2.185e-01
98           96.4       0.962      1.810e-01
99           97.4       0.952      1.460e-01
100          98.4       0.942      9.558e-02
101          99.4       0.932      6.775e-02
102         100.4       0.922      4.049e-02
103         101.4       0.912      2.193e-02
104         102.4       0.902     -7.645e-03
105         103.9       0.887     -4.782e-02
106         104.9       0.877     -6.741e-02
107         105.9       0.867     -9.056e-02
108         106.9       0.857     -1.070e-01
109         107.9       0.847     -1.338e-01
110         108.9       0.837     -1.817e-01
111         109.9       0.827     -2.101e-01
112         110.9       0.817     -2.338e-01
113         111.9       0.807     -2.659e-01
114         112.9       0.797     -2.941e-01
115         113.9       0.787     -3.205e-01
116         114.9       0.777     -3.363e-01
117         115.9       0.767     -3.677e-01
118         116.9       0.757     -4.002e-01
119         117.9       0.747     -4.301e-01
120         118.9       0.737     -4.558e-01
121         119.9       0.727     -4.855e-01
122         120.9       0.717     -5.192e-01
123         121.9       0.707     -5.471e-01
124         122.9       0.697     -5.756e-01
125         123.9       0.687     -5.966e-01
126         124.9       0.677     -6.239e-01
127         125.9       0.667     -6.506e-01
128         126.9       0.657     -6.804e-01
129         127.9       0.647     -7.136e-01
130         128.9       0.637     -7.408e-01
131         129.9       0.627     -7.723e-01
132         130.9       0.617     -8.033e-01
133         131.9       0.607     -8.330e-01
134         132.9       0.597     -8.620e-01
135         133.9       0.587     -8.900e-01
136         134.9       0.577     -9.201e-01
137         135.9       0.567     -9.491e-01
138         136.9       0.557     -9.823e-01
139         137.9       0.547     -1.015e+00
140         138.9       0.537     -1.045e+00
141         139.9       0.527     -1.077e+00
142         140.9       0.517     -1.112e+00
143         141.9       0.507     -1.140e+00
144         142.9       0.497     -1.171e+00
145         143.9       0.487     -1.198e+00
146         144.9       0.477     -1.227e+00
147         145.9       0.467     -1.257e+00
148         146.9       0.457     -1.288e+00
149         147.9       0.447     -1.319e+00
150         148.9       0.437     -1.351e+00
151         149.9       0.427     -1.384e+00
152         150.9       0.417     -1.414e+00
153         151.9       0.407     -1.442e+00
154         152.9       0.397     -1.474e+00
155         153.9       0.387     -1.500e+00
156         154.9       0.377     -1.528e+00
157         155.9       0.367     -1.562e+00
158         156.9       0.357     -1.594e+00
159         157.9       0.347     -1.626e+00
160         158.9       0.337     -1.656e+00
161         159.9       0.327     -1.690e+00
162         160.9       0.317     -1.721e+00
163         161.9       0.307     -1.752e+00
164         162.9       0.297     -1.782e+00
165         163.9       0.287     -1.812e+00
166         164.9       0.277     -1.840e+00
167         165.9       0.267     -1.875e+00
168         166.9       0.257     -1.909e+00
169         167.9       0.247     -1.943e+00
170         168.9       0.237     -1.980e+00
171         169.9       0.227     -2.009e+00
172         170.9       0.217     -2.044e+00
173         171.9       0.207     -2.079e+00
174         172.9       0.197     -2.116e+00
175         173.9       0.187     -2.145e+00
176         174.9       0.177     -2.177e+00
177         175.9       0.167     -2.220e+00
178         176.9       0.157     -2.254e+00
179         177.9       0.147     -2.293e+00
180         178.9       0.137     -2.326e+00
181         179.9       0.127     -2.367e+00
182         180.9       0.117     -2.400e+00
183         181.9       0.107     -2.440e+00
184         182.9       0.097     -2.473e+00
185         183.9       0.087     -2.502e+00
186         184.0       0.087     -2.502e+00
187         185.2       0.082     -2.480e+00
188         186.2       0.072     -2.539e+00
189         187.2       0.062     -2.540e+00
190         188.2       0.052     -2.541e+00
191         189.2       0.042     -2.540e+00
192         190.2       0.032     -2.539e+00
193         191.2       0.022     -2.539e+00
194         192.2       0.012     -2.538e+00
195         194.0       0.004     -2.538e+00

