File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  15:31:23-15:34:41
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   191
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.867      2.586e+00
2             1.1       1.862      2.549e+00
3             1.1       1.862      2.549e+00
4             2.4       1.856      2.565e+00
5             3.4       1.846      2.580e+00
6             4.4       1.836      2.580e+00
7             5.4       1.826      2.578e+00
8             6.4       1.816      2.577e+00
9             7.4       1.806      2.576e+00
10            8.4       1.796      2.575e+00
11            9.4       1.786      2.575e+00
12           10.4       1.776      2.574e+00
13           11.4       1.766      2.574e+00
14           12.4       1.756      2.571e+00
15           13.4       1.746      2.571e+00
16           14.4       1.736      2.572e+00
17           15.4       1.726      2.571e+00
18           16.4       1.716      2.570e+00
19           17.4       1.706      2.568e+00
20           18.4       1.696      2.567e+00
21           19.4       1.686      2.567e+00
22           20.4       1.676      2.565e+00
23           21.4       1.666      2.566e+00
24           22.4       1.656      2.566e+00
25           23.4       1.646      2.566e+00
26           24.5       1.636      2.566e+00
27           25.4       1.626      2.563e+00
28           26.4       1.616      2.563e+00
29           27.4       1.606      2.563e+00
30           28.4       1.596      2.561e+00
31           29.4       1.586      2.560e+00
32           30.4       1.576      2.560e+00
33           31.4       1.566      2.560e+00
34           32.4       1.556      2.559e+00
35           33.4       1.546      2.560e+00
36           34.4       1.536      2.556e+00
37           35.4       1.526      2.559e+00
38           36.4       1.516      2.557e+00
39           37.4       1.506      2.556e+00
40           38.4       1.496      2.555e+00
41           39.4       1.486      2.554e+00
42           40.4       1.476      2.555e+00
43           41.4       1.466      2.554e+00
44           42.4       1.456      2.554e+00
45           43.4       1.446      2.554e+00
46           44.4       1.436      2.554e+00
47           45.4       1.426      2.552e+00
48           46.4       1.416      2.551e+00
49           47.4       1.406      2.552e+00
50           48.4       1.396      2.551e+00
51           49.4       1.386      2.549e+00
52           50.4       1.376      2.548e+00
53           51.4       1.366      2.547e+00
54           52.4       1.356      2.549e+00
55           53.4       1.346      2.547e+00
56           54.4       1.336      2.547e+00
57           55.4       1.326      2.546e+00
58           56.4       1.316      2.547e+00
59           57.4       1.306      2.545e+00
60           58.4       1.296      2.545e+00
61           59.4       1.286      2.544e+00
62           60.4       1.276      2.545e+00
63           61.4       1.266      2.544e+00
64           62.4       1.256      2.542e+00
65           63.4       1.246      2.543e+00
66           64.4       1.236      2.542e+00
67           65.4       1.226      2.542e+00
68           66.4       1.216      2.542e+00
69           67.4       1.206      2.542e+00
70           68.4       1.196      2.542e+00
71           69.4       1.186      2.540e+00
72           70.4       1.176      2.540e+00
73           71.4       1.166      2.540e+00
74           72.4       1.156      2.540e+00
75           73.4       1.146      2.538e+00
76           74.4       1.136      2.538e+00
77           75.4       1.126      2.538e+00
78           76.4       1.116      2.538e+00
79           77.4       1.106      2.536e+00
80           78.4       1.096      2.500e+00
81           79.4       1.086      2.417e+00
82           80.4       1.076      2.289e+00
83           81.4       1.066      2.147e+00
84           82.4       1.056      2.055e+00
85           83.4       1.046      1.952e+00
86           84.4       1.036      1.814e+00
87           85.4       1.026      1.516e+00
88           86.4       1.016      1.301e+00
89           87.4       1.006      1.082e+00
90           88.4       0.996      9.544e-01
91           89.4       0.986      8.575e-01
92           90.4       0.976      7.355e-01
93           91.4       0.966      6.697e-01
94           92.4       0.956      5.867e-01
95           93.4       0.946      5.453e-01
96           94.4       0.936      4.987e-01
97           95.4       0.926      4.434e-01
98           96.4       0.916      4.114e-01
99           97.4       0.906      3.562e-01
100          98.4       0.896      3.212e-01
101          99.4       0.886      2.668e-01
102         100.4       0.876      2.169e-01
103         101.4       0.866      1.674e-01
104         102.4       0.856      1.293e-01
105         103.4       0.846      9.605e-02
106         104.4       0.836      5.736e-02
107         105.4       0.826      2.389e-02
108         106.4       0.816     -1.539e-02
109         107.4       0.806     -7.641e-02
110         108.4       0.796     -1.261e-01
111         109.4       0.786     -1.736e-01
112         110.4       0.776     -2.404e-01
113         111.4       0.766     -2.721e-01
114         112.4       0.756     -3.079e-01
115         113.4       0.746     -3.347e-01
116         114.4       0.736     -3.673e-01
117         115.4       0.726     -3.996e-01
118         116.4       0.716     -4.165e-01
119         117.4       0.706     -4.543e-01
120         118.4       0.696     -4.908e-01
121         119.4       0.686     -5.247e-01
122         120.4       0.676     -5.532e-01
123         121.4       0.666     -5.794e-01
124         122.4       0.656     -6.077e-01
125         123.4       0.646     -6.437e-01
126         124.4       0.636     -6.726e-01
127         125.4       0.626     -7.065e-01
128         126.4       0.616     -7.379e-01
129         127.4       0.606     -7.630e-01
130         128.4       0.596     -7.953e-01
131         129.4       0.586     -8.257e-01
132         130.4       0.576     -8.672e-01
133         131.4       0.566     -9.013e-01
134         132.4       0.556     -9.315e-01
135         133.4       0.546     -9.567e-01
136         134.4       0.536     -9.894e-01
137         135.4       0.526     -1.025e+00
138         136.4       0.516     -1.059e+00
139         137.4       0.506     -1.094e+00
140         138.4       0.496     -1.121e+00
141         139.4       0.486     -1.150e+00
142         140.4       0.476     -1.185e+00
143         141.4       0.466     -1.217e+00
144         142.4       0.456     -1.255e+00
145         143.4       0.446     -1.284e+00
146         144.4       0.436     -1.310e+00
147         145.4       0.426     -1.340e+00
148         146.4       0.416     -1.375e+00
149         147.4       0.406     -1.410e+00
150         148.4       0.396     -1.443e+00
151         149.4       0.386     -1.474e+00
152         150.4       0.376     -1.499e+00
153         151.4       0.366     -1.532e+00
154         152.4       0.356     -1.566e+00
155         153.4       0.346     -1.597e+00
156         154.4       0.336     -1.629e+00
157         155.4       0.326     -1.661e+00
158         156.4       0.316     -1.688e+00
159         157.4       0.306     -1.714e+00
160         158.4       0.296     -1.748e+00
161         159.4       0.286     -1.783e+00
162         160.4       0.276     -1.815e+00
163         161.4       0.266     -1.846e+00
164         162.4       0.256     -1.875e+00
165         163.4       0.246     -1.901e+00
166         164.4       0.236     -1.931e+00
167         165.4       0.226     -1.964e+00
168         166.4       0.216     -2.001e+00
169         167.4       0.206     -2.034e+00
170         168.4       0.196     -2.062e+00
171         169.4       0.186     -2.079e+00
172         170.4       0.176     -2.096e+00
173         171.4       0.166     -2.141e+00
174         172.4       0.156     -2.165e+00
175         173.4       0.146     -2.216e+00
176         174.4       0.136     -2.234e+00
177         175.4       0.126     -2.243e+00
178         176.4       0.116     -2.268e+00
179         177.4       0.106     -2.306e+00
180         178.4       0.096     -2.330e+00
181         179.4       0.086     -2.370e+00
182         180.4       0.076     -2.409e+00
183         181.4       0.066     -2.427e+00
184         182.4       0.056     -2.443e+00
185         183.4       0.046     -2.445e+00
186         184.4       0.036     -2.512e+00
187         184.4       0.036     -2.512e+00
188         185.7       0.031     -2.520e+00
189         186.7       0.021     -2.534e+00
190         187.7       0.011     -2.534e+00
191         189.3       0.003     -2.535e+00

