File............:   - APR,29.2017

System..........:  
Temperature.....:  unknown
Time............:  15:22:37-15:26:03
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   198
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       1.936      2.606e+00
2             1.1       1.931      2.583e+00
3             1.1       1.931      2.583e+00
4             2.4       1.926      2.564e+00
5             3.4       1.916      2.595e+00
6             4.4       1.906      2.594e+00
7             5.4       1.896      2.594e+00
8             6.4       1.886      2.592e+00
9             7.4       1.876      2.591e+00
10            8.4       1.866      2.591e+00
11            9.4       1.856      2.591e+00
12           10.4       1.846      2.588e+00
13           11.4       1.836      2.587e+00
14           12.4       1.826      2.589e+00
15           13.4       1.816      2.586e+00
16           14.4       1.806      2.586e+00
17           15.4       1.796      2.585e+00
18           16.4       1.786      2.584e+00
19           17.4       1.776      2.583e+00
20           18.4       1.766      2.584e+00
21           19.4       1.756      2.581e+00
22           20.4       1.746      2.580e+00
23           21.4       1.736      2.578e+00
24           22.4       1.726      2.578e+00
25           23.4       1.716      2.577e+00
26           24.4       1.706      2.576e+00
27           25.4       1.696      2.576e+00
28           26.4       1.686      2.578e+00
29           27.4       1.676      2.575e+00
30           28.4       1.666      2.574e+00
31           29.4       1.656      2.574e+00
32           30.4       1.646      2.573e+00
33           31.4       1.636      2.572e+00
34           32.4       1.626      2.573e+00
35           33.4       1.616      2.571e+00
36           34.4       1.606      2.571e+00
37           35.4       1.596      2.569e+00
38           36.4       1.586      2.568e+00
39           37.4       1.576      2.569e+00
40           38.4       1.566      2.568e+00
41           39.4       1.556      2.567e+00
42           40.4       1.546      2.565e+00
43           41.4       1.536      2.566e+00
44           42.4       1.526      2.566e+00
45           43.4       1.516      2.566e+00
46           44.4       1.506      2.566e+00
47           45.4       1.496      2.564e+00
48           46.4       1.486      2.564e+00
49           47.4       1.476      2.562e+00
50           48.4       1.466      2.562e+00
51           49.4       1.456      2.564e+00
52           50.4       1.446      2.561e+00
53           51.4       1.436      2.562e+00
54           52.4       1.426      2.560e+00
55           53.4       1.416      2.560e+00
56           54.4       1.406      2.560e+00
57           55.4       1.396      2.559e+00
58           56.4       1.386      2.559e+00
59           57.4       1.376      2.559e+00
60           58.4       1.366      2.558e+00
61           59.4       1.356      2.557e+00
62           60.4       1.346      2.557e+00
63           61.4       1.336      2.556e+00
64           62.4       1.326      2.556e+00
65           63.4       1.316      2.555e+00
66           64.4       1.306      2.555e+00
67           65.4       1.296      2.556e+00
