File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  20:14:36-20:15:34
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   52
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.692     -4.785e-03
2             1.1       0.687     -6.445e-03
3             2.1       0.677     -1.099e-02
4             3.1       0.667     -1.325e-02
5             4.1       0.657     -2.027e-02
6             5.1       0.647     -2.810e-02
7             6.1       0.637     -3.298e-02
8             7.4       0.624     -3.982e-02
9             8.4       0.614     -4.713e-02
10            9.4       0.604     -5.239e-02
11           10.4       0.594     -5.746e-02
12           11.4       0.584     -6.835e-02
13           12.4       0.574     -7.195e-02
14           13.4       0.564     -7.632e-02
15           14.4       0.554     -8.177e-02
16           15.4       0.544     -7.896e-02
17           16.4       0.534     -8.363e-02
18           17.4       0.524     -8.920e-02
19           18.4       0.514     -9.650e-02
20           20.3       0.504     -1.051e-01
21           21.5       0.495     -1.149e-01
22           22.6       0.485     -1.189e-01
23           23.6       0.475     -1.249e-01
24           24.6       0.465     -1.290e-01
25           25.6       0.455     -1.342e-01
26           26.6       0.445     -1.405e-01
27           27.6       0.435     -1.421e-01
28           28.6       0.425     -1.466e-01
29           29.6       0.415     -1.534e-01
30           30.6       0.405     -1.540e-01
31           31.6       0.395     -1.596e-01
32           32.6       0.385     -1.431e-01
33           33.6       0.375     -1.705e-01
34           34.6       0.365     -1.821e-01
35           35.6       0.355     -1.827e-01
36           36.6       0.345     -1.923e-01
37           37.6       0.335     -1.981e-01
38           38.6       0.325     -2.060e-01
39           39.6       0.315     -2.178e-01
40           40.6       0.305     -2.197e-01
41           41.6       0.300     -2.183e-01
42           42.8       0.295     -2.228e-01
43           43.8       0.285     -2.320e-01
44           44.8       0.275     -2.415e-01
45           45.8       0.265     -2.481e-01
46           46.8       0.255     -2.523e-01
47           47.8       0.245     -2.518e-01
48           48.8       0.235     -2.616e-01
49           49.8       0.225     -2.694e-01
50           50.8       0.215     -2.795e-01
51           51.8       0.205     -2.795e-01
52           52.8       0.200     -2.900e-01

