File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  19:07:55-19:08:58
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   59
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.761      5.353e-03
2             1.1       0.757     -8.446e-05
3             2.2       0.745     -9.051e-03
4             3.2       0.736     -2.092e-02
5             4.2       0.725     -3.061e-02
6             5.4       0.714     -4.048e-02
7             6.4       0.704     -5.134e-02
8             7.4       0.694     -5.993e-02
9             8.4       0.684     -6.887e-02
10            9.4       0.674     -7.911e-02
11           10.4       0.664     -8.913e-02
12           11.4       0.654     -9.978e-02
13           12.4       0.644     -1.103e-01
14           13.4       0.634     -1.184e-01
15           14.4       0.624     -1.261e-01
16           15.4       0.614     -1.324e-01
17           16.4       0.604     -1.432e-01
18           17.4       0.594     -1.543e-01
19           18.4       0.584     -1.637e-01
20           19.4       0.574     -1.730e-01
21           20.4       0.564     -1.831e-01
22           21.4       0.554     -1.938e-01
23           22.4       0.544     -2.033e-01
24           23.4       0.534     -2.142e-01
25           24.4       0.524     -2.240e-01
26           25.4       0.514     -2.336e-01
27           27.3       0.504     -2.423e-01
28           28.5       0.495     -2.463e-01
29           29.5       0.485     -2.566e-01
30           30.5       0.475     -2.647e-01
31           31.5       0.465     -2.752e-01
32           32.5       0.455     -2.823e-01
33           33.5       0.445     -2.890e-01
34           34.5       0.435     -2.984e-01
35           35.5       0.425     -3.034e-01
36           36.5       0.415     -3.163e-01
37           37.5       0.405     -3.265e-01
38           38.5       0.395     -3.347e-01
39           39.5       0.385     -3.399e-01
40           40.5       0.375     -3.516e-01
41           41.5       0.365     -3.605e-01
42           42.5       0.355     -3.727e-01
43           43.5       0.345     -3.812e-01
44           44.5       0.335     -3.931e-01
45           45.5       0.325     -4.025e-01
46           46.5       0.315     -4.052e-01
47           47.5       0.305     -4.174e-01
48           48.6       0.300     -4.218e-01
49           49.8       0.295     -4.251e-01
50           50.8       0.285     -4.405e-01
51           51.8       0.275     -4.511e-01
52           52.8       0.265     -4.676e-01
53           53.8       0.255     -4.807e-01
54           54.8       0.245     -4.927e-01
55           55.8       0.235     -5.013e-01
56           56.8       0.225     -5.137e-01
57           57.8       0.215     -5.295e-01
58           58.8       0.205     -5.401e-01
59           59.8       0.200     -5.458e-01

