File............:   - MAY,04.2017

System..........:  
Temperature.....:  unknown
Time............:  19:16:08-19:17:04
Scan mode.......:   10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
                    
Steady state current/voltage diagramm

Lines:   53
Columns: 3

Number    Time/s    Potential/V   Current/A 
1             0.0       0.782     -1.438e-03
2             1.1       0.787      7.218e-03
3             2.1       0.797      6.299e-03
4             3.8       0.814      4.386e-02
5             4.8       0.824      5.402e-02
6             5.8       0.834      6.353e-02
7             6.8       0.844      9.915e-02
8             7.8       0.854      9.547e-02
9             8.8       0.864      1.103e-01
10            9.9       0.874      1.204e-01
11           10.9       0.884      1.326e-01
12           11.9       0.894      1.636e-01
13           12.9       0.904      1.763e-01
14           13.9       0.914      1.790e-01
15           14.9       0.924      2.041e-01
16           15.9       0.934      2.056e-01
17           16.9       0.944      2.380e-01
18           17.9       0.954      2.463e-01
19           18.9       0.964      2.795e-01
20           19.9       0.974      3.024e-01
21           20.9       0.984      3.088e-01
22           21.9       0.994      3.245e-01
23           22.9       1.004      3.280e-01
24           23.9       1.014      3.371e-01
25           24.9       1.024      3.824e-01
26           25.9       1.034      3.935e-01
27           26.9       1.044      4.058e-01
28           27.9       1.054      4.495e-01
29           28.9       1.064      4.565e-01
30           29.9       1.074      4.641e-01
31           30.9       1.084      4.814e-01
32           31.9       1.094      5.092e-01
33           32.9       1.104      5.518e-01
34           33.9       1.114      5.474e-01
35           34.9       1.124      5.634e-01
36           35.9       1.134      5.770e-01
37           36.9       1.144      6.233e-01
38           37.9       1.154      6.231e-01
39           38.9       1.164      6.400e-01
40           39.9       1.174      6.659e-01
41           40.9       1.184      6.988e-01
42           41.9       1.194      7.098e-01
43           42.9       1.204      7.595e-01
44           43.9       1.214      7.818e-01
45           44.9       1.224      7.794e-01
46           45.9       1.234      8.207e-01
47           46.9       1.244      8.478e-01
48           47.9       1.254      8.478e-01
49           48.9       1.264      8.973e-01
50           49.9       1.274      9.446e-01
51           50.9       1.284      9.838e-01
52           51.9       1.294      9.970e-01
53           53.0       1.299      9.992e-01

